측정 연도,측정 일자,측정 차수,정점명,측정 라인,수심,위도,경도,분류군(영명),분류군(국명),종(영명),종(국명),단위면적당생물량,피도,빈도,상대피도,상대빈도,중요도
2015,2015-03-26,1,법환,B,6,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,,64,,,,
2015,2015-03-26,1,법환,B,6,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,302,28,,,,
2015,2015-03-26,1,법환,B,10,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,,16,,,,
2015,2015-03-26,1,법환,B,10,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,94,14,,,,
2015,2015-03-26,1,법환,A,3,,,Ochrophyta,대롱편모조식물문,Colpomenia peregrina,반질불레기말,,2,,,,
2015,2015-03-26,1,법환,A,6,,,Ochrophyta,대롱편모조식물문,Colpomenia peregrina,반질불레기말,,4,,,,
2015,2015-03-26,1,법환,A,6,,,Ochrophyta,대롱편모조식물문,Colpomenia peregrina,반질불레기말,24,2,,,,
2015,2015-03-26,1,법환,A,3,,,Ochrophyta,대롱편모조식물문,Padina arborescens,부챗말,,46,,,,
2015,2015-03-26,1,법환,A,3,,,Ochrophyta,대롱편모조식물문,Padina arborescens,부챗말,122,4,,,,
2015,2015-03-26,1,법환,A,6,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,,4,,,,
2015,2015-03-26,1,법환,A,6,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,62,4,,,,
2015,2015-03-26,1,법환,A,10,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,,4,,,,
2015,2015-03-26,1,법환,B,6,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,18,2,,,,
2015,2015-03-26,1,법환,B,10,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,,2,,,,
2015,2015-03-26,1,법환,A,3,,,,,Articulated coralline algae,유절산호조류,,8,,,,
2015,2015-03-26,1,법환,A,3,,,,,Articulated coralline algae,유절산호조류,114,12,,,,
2015,2015-03-26,1,법환,A,6,,,,,Articulated coralline algae,유절산호조류,,32,,,,
2015,2015-03-26,1,법환,A,6,,,,,Articulated coralline algae,유절산호조류,418,28,,,,
2015,2015-03-26,1,법환,A,10,,,,,Articulated coralline algae,유절산호조류,,14,,,,
2015,2015-03-26,1,법환,A,10,,,,,Articulated coralline algae,유절산호조류,350,22,,,,
2015,2015-03-26,1,법환,B,3,,,,,Articulated coralline algae,유절산호조류,,84,,,,
2015,2015-03-26,1,법환,B,3,,,,,Articulated coralline algae,유절산호조류,392,32,,,,
2015,2015-03-26,1,법환,B,6,,,,,Articulated coralline algae,유절산호조류,,86,,,,
2015,2015-03-26,1,법환,B,6,,,,,Articulated coralline algae,유절산호조류,962,64,,,,
2015,2015-03-26,1,법환,B,10,,,,,Articulated coralline algae,유절산호조류,,28,,,,
2015,2015-03-26,1,법환,B,10,,,,,Articulated coralline algae,유절산호조류,448,44,,,,
2015,2015-03-26,1,법환,B,10,,,Rhodophyta,홍조식물문,Peyssonnelia caulifera,자루바다표고,8,1,,,,
2015,2015-03-26,1,법환,B,10,,,Rhodophyta,홍조식물문,Plocamium telfairiae,참곱슬이,96,4,,,,
2015,2015-03-27,1,일과,B,10,,,Rhodophyta,홍조식물문,Meristotheca papulosa,갈래곰보,,11,,,,
2015,2015-03-27,1,일과,B,10,,,Rhodophyta,홍조식물문,Meristotheca papulosa,갈래곰보,50,4,,,,
2015,2015-03-27,1,일과,A,10,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,110,10,,,,
2015,2015-03-27,1,일과,A,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,42,,,,
2015,2015-03-27,1,일과,A,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,952,38,,,,
2015,2015-03-27,1,일과,A,3,,,Ochrophyta,대롱편모조식물문,Ruguleopterix okamurae,개그물바탕말,14,3,,,,
2015,2015-03-27,1,일과,B,3,,,Ochrophyta,대롱편모조식물문,Ruguleopterix okamurae,개그물바탕말,50,5,,,,
2015,2015-03-27,1,일과,A,3,,,,,Melobesioidean algae,무절산호조류,,2,,,,
2015,2015-03-27,1,일과,A,3,,,,,Melobesioidean algae,무절산호조류,,8,,,,
2015,2015-03-27,1,일과,A,6,,,,,Melobesioidean algae,무절산호조류,,6,,,,
2015,2015-03-27,1,일과,A,6,,,,,Melobesioidean algae,무절산호조류,,12,,,,
2015,2015-03-27,1,일과,A,10,,,,,Melobesioidean algae,무절산호조류,,2,,,,
2015,2015-03-27,1,일과,A,10,,,,,Melobesioidean algae,무절산호조류,,4,,,,
2015,2015-03-27,1,일과,B,3,,,,,Melobesioidean algae,무절산호조류,,22,,,,
2015,2015-03-27,1,일과,B,3,,,,,Melobesioidean algae,무절산호조류,,8,,,,
2015,2015-03-27,1,일과,B,6,,,,,Melobesioidean algae,무절산호조류,,18,,,,
2015,2015-03-27,1,일과,B,6,,,,,Melobesioidean algae,무절산호조류,,8,,,,
2015,2015-03-27,1,일과,B,10,,,,,Melobesioidean algae,무절산호조류,,3,,,,
2015,2015-03-27,1,일과,B,10,,,,,Melobesioidean algae,무절산호조류,,24,,,,
2015,2015-03-27,1,일과,A,3,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,,44,,,,
2015,2015-03-27,1,일과,A,3,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,682,28,,,,
2015,2015-03-27,1,일과,B,6,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,,16,,,,
2015,2015-03-27,1,일과,B,6,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,378,24,,,,
2015,2015-03-27,1,일과,A,3,,,Ochrophyta,대롱편모조식물문,Colpomenia peregrina,반질불레기말,,4,,,,
2015,2015-03-27,1,일과,B,6,,,Ochrophyta,대롱편모조식물문,Colpomenia peregrina,반질불레기말,,2,,,,
2015,2015-03-27,1,일과,B,6,,,Ochrophyta,대롱편모조식물문,Colpomenia peregrina,반질불레기말,,4,,,,
2015,2015-03-27,1,일과,A,6,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,224,9,,,,
2015,2015-03-27,1,일과,A,10,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,,4,,,,
2015,2015-03-27,1,일과,A,10,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,14,2,,,,
2015,2015-03-27,1,일과,A,3,,,,,Articulated coralline algae,유절산호조류,,64,,,,
2015,2015-03-27,1,일과,A,3,,,,,Articulated coralline algae,유절산호조류,836,38,,,,
2015,2015-03-27,1,일과,A,6,,,,,Articulated coralline algae,유절산호조류,,12,,,,
2015,2015-03-27,1,일과,A,6,,,,,Articulated coralline algae,유절산호조류,322,14,,,,
2015,2015-03-27,1,일과,A,10,,,,,Articulated coralline algae,유절산호조류,,52,,,,
2015,2015-03-27,1,일과,A,10,,,,,Articulated coralline algae,유절산호조류,640,46,,,,
2015,2015-03-27,1,일과,B,3,,,,,Articulated coralline algae,유절산호조류,,52,,,,
2015,2015-03-27,1,일과,B,3,,,,,Articulated coralline algae,유절산호조류,1540,74,,,,
2015,2015-03-27,1,일과,B,6,,,,,Articulated coralline algae,유절산호조류,,46,,,,
2015,2015-03-27,1,일과,B,6,,,,,Articulated coralline algae,유절산호조류,,74,,,,
2015,2015-03-27,1,일과,B,10,,,,,Articulated coralline algae,유절산호조류,,2,,,,
2015,2015-03-27,1,일과,A,6,,,Rhodophyta,홍조식물문,Plocamium telfairiae,참곱슬이,,1,,,,
2015,2015-03-27,1,일과,A,10,,,Rhodophyta,홍조식물문,Plocamium telfairiae,참곱슬이,,1,,,,
2015,2015-03-27,1,일과,A,10,,,Rhodophyta,홍조식물문,Plocamium telfairiae,참곱슬이,100,14,,,,
2015,2015-03-27,1,일과,A,3,,,Phaeophyta,갈조식물문,Dictyota dichotoma,참그물바탕말,82,4,,,,
2015,2015-03-30,1,추자,A,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,20,,,,
2015,2015-03-30,1,추자,A,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,522,18,,,,
2015,2015-03-30,1,추자,A,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,34,,,,
2015,2015-03-30,1,추자,A,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,954,22,,,,
2015,2015-03-30,1,추자,A,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,28,,,,
2015,2015-03-30,1,추자,A,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,990,24,,,,
2015,2015-03-30,1,추자,B,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,38,,,,
2015,2015-03-30,1,추자,B,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,646,22,,,,
2015,2015-03-30,1,추자,B,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,20,,,,
2015,2015-03-30,1,추자,B,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,1106,32,,,,
2015,2015-03-30,1,추자,B,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,44,,,,
2015,2015-03-30,1,추자,B,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,454,24,,,,
2015,2015-03-30,1,추자,A,,,,,,Grateloupia elata,긴까막살,598,22,,,,
2015,2015-03-30,1,추자,A,,,,,,Grateloupia elata,긴까막살,,2,,,,
2015,2015-03-30,1,추자,B,,,,,,Grateloupia elata,긴까막살,,18,,,,
2015,2015-03-30,1,추자,B,,,,,,Grateloupia elata,긴까막살,100,4,,,,
2015,2015-03-30,1,추자,A,,,,,,Grateloupia sp.,도박류,,4,,,,
2015,2015-03-30,1,추자,A,,,,,,Grateloupia sp.,도박류,30,2,,,,
2015,2015-03-30,1,추자,B,,,,Rhodophyta,홍조식물문,Chondracanthus tenellus,돌가사리,18,2,,,,
2015,2015-03-30,1,추자,A,,,,,,Melobesioidean algae,무절산호조류,,16,,,,
2015,2015-03-30,1,추자,A,,,,,,Melobesioidean algae,무절산호조류,,18,,,,
2015,2015-03-30,1,추자,A,,,,,,Melobesioidean algae,무절산호조류,,22,,,,
2015,2015-03-30,1,추자,A,,,,,,Melobesioidean algae,무절산호조류,,17,,,,
2015,2015-03-30,1,추자,A,,,,,,Melobesioidean algae,무절산호조류,,34,,,,
2015,2015-03-30,1,추자,B,,,,,,Melobesioidean algae,무절산호조류,,10,,,,
2015,2015-03-30,1,추자,B,,,,,,Melobesioidean algae,무절산호조류,42,4,,,,
2015,2015-03-30,1,추자,B,,,,,,Melobesioidean algae,무절산호조류,,6,,,,
2015,2015-03-30,1,추자,B,,,,,,Melobesioidean algae,무절산호조류,,16,,,,
2015,2015-03-30,1,추자,B,,,,,,Melobesioidean algae,무절산호조류,,8,,,,
2015,2015-03-30,1,추자,B,,,,,,Melobesioidean algae,무절산호조류,,20,,,,
2015,2015-03-30,1,추자,B,,,,Rhodophyta,홍조식물문,Gelidium elegans,우뭇가사리,50,5,,,,
2015,2015-03-30,1,추자,A,,,,,,Articulated coralline algae,유절산호조류,,42,,,,
2015,2015-03-30,1,추자,A,,,,,,Articulated coralline algae,유절산호조류,18,2,,,,
2015,2015-03-30,1,추자,A,,,,,,Articulated coralline algae,유절산호조류,,14,,,,
2015,2015-03-30,1,추자,A,,,,,,Articulated coralline algae,유절산호조류,640,26,,,,
2015,2015-03-30,1,추자,A,,,,,,Articulated coralline algae,유절산호조류,,8,,,,
2015,2015-03-30,1,추자,A,,,,,,Articulated coralline algae,유절산호조류,194,10,,,,
2015,2015-03-30,1,추자,B,,,,,,Articulated coralline algae,유절산호조류,,6,,,,
2015,2015-03-30,1,추자,B,,,,,,Articulated coralline algae,유절산호조류,92,8,,,,
2015,2015-03-30,1,추자,B,,,,,,Articulated coralline algae,유절산호조류,,14,,,,
2015,2015-03-30,1,추자,B,,,,,,Articulated coralline algae,유절산호조류,,5,,,,
2015,2015-03-30,1,추자,B,,,,,,Articulated coralline algae,유절산호조류,,4,,,,
2015,2015-03-30,1,추자,B,,,,,,Articulated coralline algae,유절산호조류,30,3,,,,
2015,2015-03-30,1,추자,A,,,,Rhodophyta,홍조식물문,Plocamium telfairiae,참곱슬이,,1,,,,
2015,2015-03-30,1,추자,B,,,,Rhodophyta,홍조식물문,Plocamium telfairiae,참곱슬이,,12,,,,
2015,2015-03-30,1,추자,B,,,,Rhodophyta,홍조식물문,Grateloupia elliptica,참도박,154,10,,,,
2015,2015-03-30,1,추자,B,,,,Ochrophyta,대롱편모조식물문,Sargassum macrocarpum,큰열매모자반,430,24,,,,
2015,2015-03-31,1,탑동,B,6,,,Rhodophyta,홍조식물문,Schizymenia dubyi,갈래잎,,1,,,,
2015,2015-03-31,1,탑동,A,10,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,,4,,,,
2015,2015-03-31,1,탑동,A,,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,316,16,,,,
2015,2015-03-31,1,탑동,A,,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,,4,,,,
2015,2015-03-31,1,탑동,A,,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,302,10,,,,
2015,2015-03-31,1,탑동,A,,,,Chlorophyta,녹조식물문,Cladophora wrightiana,갈색대마디말,346,18,,,,
2015,2015-03-31,1,탑동,A,10,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,30,,,,
2015,2015-03-31,1,탑동,A,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,122,12,,,,
2015,2015-03-31,1,탑동,A,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,24,,,,
2015,2015-03-31,1,탑동,A,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,372,20,,,,
2015,2015-03-31,1,탑동,A,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,782,32,,,,
2015,2015-03-31,1,탑동,B,,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,12,,,,
2015,2015-03-31,1,탑동,B,6,,,,,Chondria crassicaulis,개서실,,2,,,,
2015,2015-03-31,1,탑동,B,,,,,,Chondria crassicaulis,개서실,88,4,,,,
2015,2015-03-31,1,탑동,B,,,,,,Chondria crassicaulis,개서실,10,1,,,,
2015,2015-03-31,1,탑동,B,,,,,,Chondria crassicaulis,개서실,6,1,,,,
2015,2015-03-31,1,탑동,A,,,,Chlorophyta,녹조식물문,Codium coactum,누운청각,32,2,,,,
2015,2015-03-31,1,탑동,A,,,,Rhodophyta,홍조식물문,Champia bifida,두갈래사슬풀,34,4,,,,
2015,2015-03-31,1,탑동,A,,,,Rhodophyta,홍조식물문,Champia bifida,두갈래사슬풀,,8,,,,
2015,2015-03-31,1,탑동,A,,,,Rhodophyta,홍조식물문,Champia bifida,두갈래사슬풀,20,4,,,,
2015,2015-03-31,1,탑동,A,10,,,,,Melobesioidean algae,무절산호조류,,12,,,,
2015,2015-03-31,1,탑동,A,,,,,,Melobesioidean algae,무절산호조류,,8,,,,
2015,2015-03-31,1,탑동,A,,,,,,Melobesioidean algae,무절산호조류,,10,,,,
2015,2015-03-31,1,탑동,A,,,,,,Melobesioidean algae,무절산호조류,,16,,,,
2015,2015-03-31,1,탑동,B,6,,,,,Melobesioidean algae,무절산호조류,,14,,,,
2015,2015-03-31,1,탑동,B,,,,,,Melobesioidean algae,무절산호조류,,16,,,,
2015,2015-03-31,1,탑동,B,,,,,,Melobesioidean algae,무절산호조류,,13,,,,
2015,2015-03-31,1,탑동,B,,,,,,Melobesioidean algae,무절산호조류,,15,,,,
2015,2015-03-31,1,탑동,B,,,,,,Melobesioidean algae,무절산호조류,,8,,,,
2015,2015-03-31,1,탑동,B,,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,10,2,,,,
2015,2015-03-31,1,탑동,B,,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,,12,,,,
2015,2015-03-31,1,탑동,B,,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,178,22,,,,
2015,2015-03-31,1,탑동,B,,,,Ochrophyta,대롱편모조식물문,Undaria pinnatifida,미역,58,8,,,,
2015,2015-03-31,1,탑동,A,,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,8,1,,,,
2015,2015-03-31,1,탑동,A,,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,,3,,,,
2015,2015-03-31,1,탑동,A,,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,50,4,,,,
2015,2015-03-31,1,탑동,A,,,,Rhodophyta,홍조식물문,Grateloupia angusta,붉은뼈까막살,16,2,,,,
2015,2015-03-31,1,탑동,A,,,,Rhodophyta,홍조식물문,Portieria japonica,왜잎송진내,,1,,,,
2015,2015-03-31,1,탑동,A,10,,,,,Articulated coralline algae,유절산호조류,,36,,,,
2015,2015-03-31,1,탑동,A,,,,,,Articulated coralline algae,유절산호조류,358,32,,,,
2015,2015-03-31,1,탑동,A,,,,,,Articulated coralline algae,유절산호조류,,38,,,,
2015,2015-03-31,1,탑동,A,,,,,,Articulated coralline algae,유절산호조류,498,48,,,,
2015,2015-03-31,1,탑동,A,,,,,,Articulated coralline algae,유절산호조류,,22,,,,
2015,2015-03-31,1,탑동,A,,,,,,Articulated coralline algae,유절산호조류,446,34,,,,
2015,2015-03-31,1,탑동,B,6,,,,,Articulated coralline algae,유절산호조류,,42,,,,
2015,2015-03-31,1,탑동,B,,,,,,Articulated coralline algae,유절산호조류,830,62,,,,
2015,2015-03-31,1,탑동,B,,,,,,Articulated coralline algae,유절산호조류,,58,,,,
2015,2015-03-31,1,탑동,B,,,,,,Articulated coralline algae,유절산호조류,1130,62,,,,
2015,2015-03-31,1,탑동,B,,,,,,Articulated coralline algae,유절산호조류,,52,,,,
2015,2015-03-31,1,탑동,B,,,,,,Articulated coralline algae,유절산호조류,822,62,,,,
2015,2015-03-31,1,탑동,B,,,,,,Dudresnaya japonica,자주비로드,,1,,,,
2015,2015-03-31,1,탑동,A,10,,,Rhodophyta,홍조식물문,Plocamium telfairiae,참곱슬이,,5,,,,
2015,2015-03-31,1,탑동,A,,,,Rhodophyta,홍조식물문,Plocamium telfairiae,참곱슬이,100,16,,,,
2015,2015-03-31,1,탑동,A,,,,Rhodophyta,홍조식물문,Plocamium telfairiae,참곱슬이,8,1,,,,
2015,2015-03-31,1,탑동,A,,,,Ochrophyta,대롱편모조식물문,Sargassum macrocarpum,큰열매모자반,62,4,,,,
2015,2015-04-01,1,용운,A,3,,,Rhodophyta,홍조식물문,Schizymenia dubyi,갈래잎,34,4,,,,
2015,2015-04-01,1,용운,B,6,,,Rhodophyta,홍조식물문,Schizymenia dubyi,갈래잎,,5,,,,
2015,2015-04-01,1,용운,B,10,,,Rhodophyta,홍조식물문,Schizymenia dubyi,갈래잎,34,4,,,,
2015,2015-04-01,1,도두,A,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,28,,,,
2015,2015-04-01,1,도두,A,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,330,16,,,,
2015,2015-04-01,1,도두,A,10,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,20,,,,
2015,2015-04-01,1,도두,A,10,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,452,28,,,,
2015,2015-04-01,1,도두,B,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,24,,,,
2015,2015-04-01,1,도두,B,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,270,18,,,,
2015,2015-04-01,1,도두,B,10,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,16,,,,
2015,2015-04-01,1,도두,B,10,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,252,12,,,,
2015,2015-04-01,1,용운,A,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,,16,,,,
2015,2015-04-01,1,용운,A,6,,,Ochrophyta,대롱편모조식물문,Ecklonia cava,감태,370,22,,,,
